Training Partition
Total # of instances, 162770
Attribute Index, Attribute Name, # of Positives,  % of Positives, # of Negatives, % of Negatives
0, 5_o_Clock_Shadow, 18177, 0.11167291269890028, 144593, 0.8883270873010998
1, Arched_Eyebrows, 43278, 0.2658843767278983, 119492, 0.7341156232721018
2, Attractive, 83603, 0.5136265896664004, 79167, 0.4863734103335996
3, Bags_Under_Eyes, 33280, 0.20446028137863242, 129490, 0.7955397186213675
4, Bald, 3713, 0.022811328868956197, 159057, 0.9771886711310438
5, Bangs, 24685, 0.15165571051176507, 138085, 0.8483442894882349
6, Big_Lips, 39213, 0.24091048719051422, 123557, 0.7590895128094858
7, Big_Nose, 38341, 0.23555323462554525, 124429, 0.7644467653744548
8, Black_Hair, 38906, 0.23902439024390243, 123864, 0.7609756097560976
9, Blond_Hair, 24267, 0.149087669718007, 138503, 0.850912330281993
10, Blurry, 8362, 0.05137310315168643, 154408, 0.9486268968483136
11, Brown_Hair, 33192, 0.20391964121152548, 129578, 0.7960803587884745
12, Bushy_Eyebrows, 23386, 0.1436751244086748, 139384, 0.8563248755913252
13, Chubby, 9389, 0.05768261964735517, 153381, 0.9423173803526448
14, Double_Chin, 7571, 0.04651348528598636, 155199, 0.9534865147140137
15, Eyeglasses, 10521, 0.0646372181605947, 152249, 0.9353627818394052
16, Goatee, 10337, 0.06350678872028015, 152433, 0.9364932112797199
17, Gray_Hair, 6896, 0.04236652945874547, 155874, 0.9576334705412546
18, Heavy_Makeup, 62555, 0.38431529151563554, 100215, 0.6156847084843644
19, High_Cheekbones, 73645, 0.45244823984763777, 89125, 0.5475517601523623
20, Male, 68261, 0.4193708914419119, 94509, 0.5806291085580881
21, Mouth_Slightly_Open, 78486, 0.4821895926767832, 84284, 0.5178104073232168
22, Mustache, 6642, 0.040806045340050376, 156128, 0.9591939546599496
23, Narrow_Eyes, 18869, 0.11592431037660503, 143901, 0.884075689623395
24, No_Beard, 135779, 0.8341770596547275, 26991, 0.16582294034527245
25, Oval_Face, 46101, 0.28322786754315904, 116669, 0.716772132456841
26, Pale_Skin, 7005, 0.04303618602936659, 155765, 0.9569638139706335
27, Pointy_Nose, 44846, 0.2755176015236223, 117924, 0.7244823984763777
28, Receding_Hairline, 13040, 0.08011304294403146, 149730, 0.9198869570559686
29, Rosy_Cheeks, 10525, 0.06466179271364501, 152245, 0.935338207286355
30, Sideburns, 9156, 0.05625115193217423, 153614, 0.9437488480678258
31, Smiling, 78080, 0.47969527554217606, 84690, 0.5203047244578239
32, Straight_Hair, 33947, 0.2085580880997727, 128823, 0.7914419119002273
33, Wavy_Hair, 51982, 0.31935860416538675, 110788, 0.6806413958346132
34, Wearing_Earrings, 30362, 0.18653314492842663, 132408, 0.8134668550715733
35, Wearing_Hat, 8039, 0.04938870799287338, 154731, 0.9506112920071266
36, Wearing_Lipstick, 76437, 0.4696012778767586, 86333, 0.5303987221232414
37, Wearing_Necklace, 19764, 0.12142286662161332, 143006, 0.8785771333783867
38, Wearing_Necktie, 11890, 0.07304785894206549, 150880, 0.9269521410579346
39, Young, 126788, 0.7789396080358788, 35982, 0.2210603919641212

Test Partition
Total # of instances, 19962
Attribute Index, Attribute Name, # of Positives,  % of Positives, # of Negatives, % of Negatives
0, 5_o_Clock_Shadow, 1994, 0.09988979060214408, 17968, 0.9001102093978559
1, Arched_Eyebrows, 5678, 0.28444043682997694, 14284, 0.7155595631700231
2, Attractive, 9898, 0.49584209998998097, 10064, 0.504157900010019
3, Bags_Under_Eyes, 4045, 0.2026350065123735, 15917, 0.7973649934876265
4, Bald, 423, 0.021190261496844005, 19539, 0.978809738503156
5, Bangs, 3109, 0.15574591724276124, 16853, 0.8442540827572388
6, Big_Lips, 6528, 0.32702134054703935, 13434, 0.6729786594529606
7, Big_Nose, 4232, 0.21200280533012725, 15730, 0.7879971946698727
8, Black_Hair, 5422, 0.27161607053401465, 14540, 0.7283839294659853
9, Blond_Hair, 2660, 0.13325318104398357, 17302, 0.8667468189560165
10, Blurry, 1010, 0.050596132652038876, 18952, 0.9494038673479611
11, Brown_Hair, 3587, 0.17969141368600342, 16375, 0.8203085863139966
12, Bushy_Eyebrows, 2586, 0.12954613766155695, 17376, 0.870453862338443
13, Chubby, 1058, 0.05300070133253181, 18904, 0.9469992986674682
14, Double_Chin, 913, 0.0457369001102094, 19049, 0.9542630998897906
15, Eyeglasses, 1289, 0.06457268810740406, 18673, 0.935427311892596
16, Goatee, 915, 0.0458370904718966, 19047, 0.9541629095281035
17, Gray_Hair, 636, 0.03186053501653141, 19326, 0.9681394649834686
